session_id,workout_id,trainer_id,session_name,duration_sec,video_link
1,5,28,Урок 1,1953,http://video.host/v/1
2,10,17,Урок 2,1574,http://video.host/v/2
3,36,22,Урок 3,2588,http://video.host/v/3
4,28,18,Урок 4,1141,http://video.host/v/4
5,93,30,Урок 5,2938,http://video.host/v/5
6,74,16,Урок 6,1595,http://video.host/v/6
7,61,26,Урок 7,2267,http://video.host/v/7
8,25,4,Урок 8,997,http://video.host/v/8
9,85,14,Урок 9,2051,http://video.host/v/9
10,55,14,Урок 10,2512,http://video.host/v/10
11,94,2,Урок 11,3358,http://video.host/v/11
12,84,21,Урок 12,1003,http://video.host/v/12
13,8,13,Урок 13,3582,http://video.host/v/13
14,44,26,Урок 14,1047,http://video.host/v/14
15,32,7,Урок 15,1379,http://video.host/v/15
16,69,15,Урок 16,1174,http://video.host/v/16
17,55,6,Урок 17,1740,http://video.host/v/17
18,60,8,Урок 18,908,http://video.host/v/18
19,57,26,Урок 19,2854,http://video.host/v/19
20,13,2,Урок 20,3271,http://video.host/v/20
21,70,27,Урок 21,660,http://video.host/v/21
22,12,30,Урок 22,1568,http://video.host/v/22
23,22,14,Урок 23,2589,http://video.host/v/23
24,62,7,Урок 24,2242,http://video.host/v/24
25,8,6,Урок 25,2152,http://video.host/v/25
26,1,13,Урок 26,1686,http://video.host/v/26
27,59,10,Урок 27,2332,http://video.host/v/27
28,90,24,Урок 28,2876,http://video.host/v/28
29,85,23,Урок 29,2593,http://video.host/v/29
30,20,7,Урок 30,1815,http://video.host/v/30
31,28,2,Урок 31,2972,http://video.host/v/31
32,95,18,Урок 32,849,http://video.host/v/32
33,96,11,Урок 33,834,http://video.host/v/33
34,7,19,Урок 34,2552,http://video.host/v/34
35,65,30,Урок 35,2775,http://video.host/v/35
36,21,2,Урок 36,2680,http://video.host/v/36
37,11,28,Урок 37,1361,http://video.host/v/37
38,9,20,Урок 38,878,http://video.host/v/38
39,87,28,Урок 39,1563,http://video.host/v/39
40,52,4,Урок 40,2933,http://video.host/v/40
41,32,19,Урок 41,3035,http://video.host/v/41
42,6,20,Урок 42,935,http://video.host/v/42
43,54,22,Урок 43,2990,http://video.host/v/43
44,73,17,Урок 44,1895,http://video.host/v/44
45,34,7,Урок 45,3343,http://video.host/v/45
46,92,11,Урок 46,1577,http://video.host/v/46
47,34,13,Урок 47,1136,http://video.host/v/47
48,86,21,Урок 48,1828,http://video.host/v/48
49,59,11,Урок 49,897,http://video.host/v/49
50,2,15,Урок 50,3144,http://video.host/v/50
51,73,4,Урок 51,900,http://video.host/v/51
52,69,7,Урок 52,2672,http://video.host/v/52
53,34,5,Урок 53,2029,http://video.host/v/53
54,9,29,Урок 54,1600,http://video.host/v/54
55,48,10,Урок 55,1246,http://video.host/v/55
56,57,27,Урок 56,2825,http://video.host/v/56
57,91,10,Урок 57,3105,http://video.host/v/57
58,84,17,Урок 58,632,http://video.host/v/58
59,86,27,Урок 59,2871,http://video.host/v/59
60,39,30,Урок 60,3317,http://video.host/v/60
61,14,29,Урок 61,1150,http://video.host/v/61
62,34,4,Урок 62,1038,http://video.host/v/62
63,96,18,Урок 63,1236,http://video.host/v/63
64,35,10,Урок 64,3077,http://video.host/v/64
65,27,23,Урок 65,2004,http://video.host/v/65
66,27,22,Урок 66,3197,http://video.host/v/66
67,34,17,Урок 67,2601,http://video.host/v/67
68,33,29,Урок 68,808,http://video.host/v/68
69,12,21,Урок 69,2334,http://video.host/v/69
70,36,2,Урок 70,614,http://video.host/v/70
71,43,25,Урок 71,1135,http://video.host/v/71
72,82,9,Урок 72,1261,http://video.host/v/72
73,95,15,Урок 73,2859,http://video.host/v/73
74,91,14,Урок 74,2897,http://video.host/v/74
75,2,4,Урок 75,908,http://video.host/v/75
76,89,29,Урок 76,1210,http://video.host/v/76
77,70,2,Урок 77,2112,http://video.host/v/77
78,75,18,Урок 78,1206,http://video.host/v/78
79,56,5,Урок 79,771,http://video.host/v/79
80,40,12,Урок 80,763,http://video.host/v/80
81,46,7,Урок 81,3393,http://video.host/v/81
82,32,22,Урок 82,1021,http://video.host/v/82
83,46,25,Урок 83,2893,http://video.host/v/83
84,53,20,Урок 84,1233,http://video.host/v/84
