workout_id,type_id,workout_name
1,9,Курс Художественный 1
2,4,Курс Что 2
3,12,Курс Эффект 3
4,11,Курс Монета 4
5,12,Курс Ремень 5
6,9,Курс Трясти 6
7,7,Курс Сбросить 7
8,4,Курс Палка 8
9,8,Курс Картинка 9
10,10,Курс Призыв 10
11,5,Курс Адвокат 11
12,13,Курс Ботинок 12
13,14,Курс Пробовать 13
14,1,Курс Инвалид 14
15,13,Курс Понятный 15
16,13,Курс Спорт 16
17,3,Курс Плясать 17
18,12,Курс Жестокий 18
19,7,Курс Штаб 19
20,6,Курс Хлеб 20
21,5,Курс Торопливый 21
22,3,Курс Инвалид 22
23,4,Курс Совещание 23
24,13,Курс Намерение 24
25,6,Курс Салон 25
26,2,Курс Кпсс 26
27,2,Курс Ботинок 27
28,7,Курс Порода 28
29,2,Курс Механический 29
30,6,Курс Ремень 30
31,14,Курс Граница 31
32,6,Курс Госпожа 32
33,10,Курс Поговорить 33
34,5,Курс Исполнять 34
35,13,Курс Войти 35
36,1,Курс Цель 36
37,12,Курс Отъезд 37
38,8,Курс Очередной 38
39,9,Курс Куча 39
40,2,Курс Освободить 40
41,15,Курс Снимать 41
42,7,Курс Потянуться 42
43,2,Курс Прошептать 43
44,9,Курс Монета 44
45,5,Курс Материя 45
46,14,Курс Легко 46
47,11,Курс Прелесть 47
48,10,Курс Забирать 48
49,15,Курс Тюрьма 49
50,14,Курс Прошептать 50
51,6,Курс Спешить 51
52,10,Курс Сверкающий 52
53,4,Курс Господь 53
54,12,Курс Голубчик 54
55,2,Курс Перебивать 55
56,1,Курс Оборот 56
57,11,Курс Лиловый 57
58,4,Курс Решение 58
59,13,Курс Угол 59
60,5,Курс Полоска 60
61,2,Курс Инструкция 61
62,14,Курс Белье 62
63,4,Курс Кузнец 63
64,14,Курс Бабочка 64
65,2,Курс Иной 65
66,7,Курс Сверкающий 66
67,5,Курс Аллея 67
68,8,Курс Бок 68
69,11,Курс Зачем 69
70,14,Курс Магазин 70
